Grade in school this year,AM Course - 1st Choice. (Drop down option),AM Course - 2nd Choice. (Drop down option),AM Course - 3rd Choice. (Drop down option),AM Course - 4th Choice. (Drop down option),AM Course - 5th Choice. (Drop down option),PM Course - 1st Choice. (Drop down option),PM Course - 2nd Choice. (Drop down option),PM Course - 3rd Choice. (Drop down option),PM Course - 4th Choice. (Drop down option),PM Course - 5th Choice. (Drop down option)
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Beautiful Storage,History of American Professional Football,"Grilling, Games, & Grins",Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Board Games,"Words, words, words... Word Puzzles and Games"
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Backyard Birdles,Beautiful Morning Hikes,"Grilling, Games, & Grins",Doughnuts around the world,Globalization of East Asian Foodways,Floral Design with Foraging,Board Games
Freshman,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Disc Golf,Ultimate Frisbee,Doughnuts around the world,"Grilling, Games, & Grins",Board Games,Teamwork and Collaboration in Video Games,Globalization of East Asian Foodways
Sophomore,Amazing Race - Full Day Course,History of American Professional Football,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,Fishing at the pond,Doughnuts around the world,Globalization of East Asian Foodways,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Board Games
Sophomore,Amazing Race - Full Day Course,College Tours - Full Day Course,Lifeguarding - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Doughnuts around the world,Shark Tank,Running Club
Sophomore,Fishing at the pond,Ultimate Frisbee,Disc Golf,Wilderness Survival,Beautiful Morning Hikes,"Grilling, Games, & Grins",Shark Tank,Teamwork and Collaboration in Video Games,Board Games,Doughnuts around the world
Freshman,Amazing Race - Full Day Course,Wilderness Survival,College Tours - Full Day Course,Ultimate Frisbee,Disc Golf,Shark Tank,Doughnuts around the world,"Grilling, Games, & Grins",Creating Outside the Box,Board Games
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Physics and Contemporary Issues,Introduction to Podcasting,Doughnuts around the world,Globalization of East Asian Foodways,Latin American Music and Zumba,Intro to Italian,Teamwork and Collaboration in Video Games
Sophomore,College Tours - Full Day Course,Amazing Race - Full Day Course,Wilderness Survival,Beautiful Morning Hikes,Disc Golf,Mending and Hiking,Introduction to Dog Training,Running Club,"Fly Fishing for Life - all are welcome, from beginners to experts",Doughnuts around the world
Freshman,Disc Golf,Fishing at the pond,Ultimate Frisbee,Amazing Race - Full Day Course,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,Board Games,Songwriters' Seminar
Sophomore,Wilderness Survival,Ultimate Frisbee,Play Like a Kid,Fishing at the pond,Web Design and Development,Board Games,"Grilling, Games, & Grins",Shark Tank,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making
Sophomore,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Knitting and Crochet: The Basics,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Doughnuts around the world,Globalization of East Asian Foodways,Beads and Baubles: The Art of Jewelry Making,NASA in the Movies,"Grilling, Games, & Grins"
Freshman,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Disc Golf,Ultimate Frisbee,Doughnuts around the world,"Grilling, Games, & Grins",Board Games,Teamwork and Collaboration in Video Games,Globalization of East Asian Foodways
Sophomore,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Music Camp,Beautiful Storage,Wilderness Survival,Doughnuts around the world,Globalization of East Asian Foodways,Floral Design with Foraging,Board Games,"Grilling, Games, & Grins"
Sophomore,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Music Camp,Beautiful Storage,Wilderness Survival,Doughnuts around the world,Globalization of East Asian Foodways,Floral Design with Foraging,Board Games,"Grilling, Games, & Grins"
Junior,Jane Austen Book Club,Beautiful Morning Hikes,Physics and Contemporary Issues,Science in Action: Real World Experiences - Full Day Course,Ultimate Frisbee,Board Games,"Words, words, words... Word Puzzles and Games",History Book Club: Women and the 1930s,The Joy of Learning and Knowing Trivial Things,Globalization of East Asian Foodways
Sophomore,Amazing Race - Full Day Course,College Tours - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Knitting and Crochet: The Basics,Doughnuts around the world,"Grilling, Games, & Grins",Shark Tank,Introduction to Dog Training,Beads and Baubles: The Art of Jewelry Making
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Backyard Birdles,Beautiful Morning Hikes,History Book Club: Women and the 1930s,The Show Must Go On,"Words, words, words... Word Puzzles and Games",Board Games,The Joy of Learning and Knowing Trivial Things
Junior,Wilderness Survival,Ultimate Frisbee,Beautiful Storage,Web Design and Development,Fishing at the pond,"Fly Fishing for Life - all are welcome, from beginners to experts",Doughnuts around the world,Board Games,"Grilling, Games, & Grins",Shark Tank
Junior,Ultimate Frisbee,Physics and Contemporary Issues,Myths and Mirth,Web Design and Development,Fishing at the pond,Board Games,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Running Club,"Fly Fishing for Life - all are welcome, from beginners to experts"
Freshman,Web Design and Development,Beautiful Morning Hikes,Ultimate Frisbee,Wilderness Survival,Fishing at the pond,Songwriters' Seminar,Creating Outside the Box,Teamwork and Collaboration in Video Games,"Quilting as Art, Quilting as Craft","Grilling, Games, & Grins"
Junior,Backyard Birdles,College Tours - Full Day Course,Physics and Contemporary Issues,Wilderness Survival,Web Design and Development,Doughnuts around the world,"Grilling, Games, & Grins",Running Club,"Fly Fishing for Life - all are welcome, from beginners to experts",Globalization of East Asian Foodways
Junior,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Jane Austen Book Club,Beautiful Storage,Play Like a Kid,Floral Design with Foraging,Doughnuts around the world,"Quilting as Art, Quilting as Craft",Beads and Baubles: The Art of Jewelry Making,The Show Must Go On
Freshman,Amazing Race - Full Day Course,Lifeguarding - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Ultimate Frisbee,Wilderness Survival,Doughnuts around the world,"Grilling, Games, & Grins",Shark Tank,Teamwork and Collaboration in Video Games,Globalization of East Asian Foodways
Freshman,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Disc Golf,Ultimate Frisbee,Doughnuts around the world,"Grilling, Games, & Grins",Board Games,Teamwork and Collaboration in Video Games,Globalization of East Asian Foodways
Freshman,Play Like a Kid,Ultimate Frisbee,Beautiful Morning Hikes,Introduction to Podcasting,Fishing at the pond,"Grilling, Games, & Grins",Doughnuts around the world,NASA in the Movies,Shark Tank,Introduction to Dog Training
Freshman,Ultimate Frisbee,Web Design and Development,History of American Professional Football,Introduction to Podcasting,Fishing at the pond,Doughnuts around the world,Running Club,Beads and Baubles: The Art of Jewelry Making,Shark Tank,Teamwork and Collaboration in Video Games
Freshman,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Disc Golf,Play Like a Kid,Doughnuts around the world,Shark Tank,Board Games,Introduction to Dog Training,NASA in the Movies
Freshman,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Lifeguarding - Full Day Course,Physics and Contemporary Issues,Music Camp,Shark Tank,Doughnuts around the world,"Grilling, Games, & Grins",Beads and Baubles: The Art of Jewelry Making,"Words, words, words... Word Puzzles and Games"
Sophomore,Introduction to Podcasting,Harry Potter: The Wizarding World of June Academy,Fishing at the pond,Wilderness Survival,Beautiful Storage,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",Shark Tank
Freshman,Amazing Race - Full Day Course,History of American Professional Football,Ultimate Frisbee,Disc Golf,Wilderness Survival,Doughnuts around the world,Globalization of East Asian Foodways,Intro to Italian,NASA in the Movies,Creating Outside the Box
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Fishing at the pond,Amazing Race - Full Day Course,Lifeguarding - Full Day Course,Beautiful Morning Hikes,Intro to Italian,Doughnuts around the world,Running Club,Beads and Baubles: The Art of Jewelry Making,"Grilling, Games, & Grins"
Junior,Amazing Race - Full Day Course,Ultimate Frisbee,Fishing at the pond,Science in Action: Real World Experiences - Full Day Course,Music Camp,"Fly Fishing for Life - all are welcome, from beginners to experts",Songwriters' Seminar,Mending and Hiking,Intro to Italian,Board Games
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Fishing at the pond,Amazing Race - Full Day Course,Beautiful Morning Hikes,Knitting and Crochet: The Basics,Intro to Italian,Running Club,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,"Grilling, Games, & Grins"
Freshman,Beautiful Morning Hikes,Backyard Birdles,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,College Tours - Full Day Course,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,"Grilling, Games, & Grins",Floral Design with Foraging,Introduction to Dog Training
Freshman,Backyard Birdles,Beautiful Morning Hikes,Knitting and Crochet: The Basics,Jane Austen Book Club,Music Camp,Songwriters' Seminar,History Book Club: Women and the 1930s,Globalization of East Asian Foodways,Doughnuts around the world,The Joy of Learning and Knowing Trivial Things
Freshman,Amazing Race - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,Ultimate Frisbee,Doughnuts around the world,"Grilling, Games, & Grins",Introduction to Dog Training,Shark Tank,Teamwork and Collaboration in Video Games
Freshman,Beautiful Morning Hikes,Backyard Birdles,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,College Tours - Full Day Course,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,"Grilling, Games, & Grins",Floral Design with Foraging,Introduction to Dog Training
Sophomore,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Knitting and Crochet: The Basics,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Doughnuts around the world,Globalization of East Asian Foodways,Beads and Baubles: The Art of Jewelry Making,NASA in the Movies,"Grilling, Games, & Grins"
Freshman,Amazing Race - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,Ultimate Frisbee,Doughnuts around the world,NASA in the Movies,"Grilling, Games, & Grins",Shark Tank,Teamwork and Collaboration in Video Games
Junior,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Knitting and Crochet: The Basics,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Doughnuts around the world,Globalization of East Asian Foodways,Beads and Baubles: The Art of Jewelry Making,NASA in the Movies,"Grilling, Games, & Grins"
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Web Design and Development,Beautiful Morning Hikes,Amazing Race - Full Day Course,College Tours - Full Day Course,Doughnuts around the world,Globalization of East Asian Foodways,"Grilling, Games, & Grins",Board Games,NASA in the Movies
Freshman,Beautiful Morning Hikes,Backyard Birdles,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,College Tours - Full Day Course,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,"Grilling, Games, & Grins",Floral Design with Foraging,Introduction to Dog Training
Freshman,Beautiful Morning Hikes,Backyard Birdles,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,College Tours - Full Day Course,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,"Grilling, Games, & Grins",Floral Design with Foraging,Introduction to Dog Training
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,The Poetry of Taylor Swift,Beautiful Morning Hikes,"Grilling, Games, & Grins",Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Board Games,Globalization of East Asian Foodways
Sophomore,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Jane Austen Book Club,The Poetry of Taylor Swift,Doughnuts around the world,Floral Design with Foraging,History Book Club: Women and the 1930s,NASA in the Movies,"Words, words, words... Word Puzzles and Games"
Junior,Wilderness Survival,Play Like a Kid,Ultimate Frisbee,Disc Golf,Fishing at the pond,"Grilling, Games, & Grins",Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",Board Games,The Joy of Learning and Knowing Trivial Things
Sophomore,Amazing Race - Full Day Course,College Tours - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Doughnuts around the world,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts"
Sophomore,Ultimate Frisbee,Play Like a Kid,Amazing Race - Full Day Course,Introduction to Podcasting,Harry Potter: The Wizarding World of June Academy,Board Games,"Words, words, words... Word Puzzles and Games",Teamwork and Collaboration in Video Games,The Joy of Learning and Knowing Trivial Things,Introduction to Dog Training
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,College Tours - Full Day Course,Fishing at the pond,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Board Games,Intro to Italian,Beads and Baubles: The Art of Jewelry Making
Freshman,History of American Professional Football,Disc Golf,Wilderness Survival,Ultimate Frisbee,Web Design and Development,"Grilling, Games, & Grins",Doughnuts around the world,Board Games,Shark Tank,Running Club
Sophomore,College Tours - Full Day Course,Amazing Race - Full Day Course,Beautiful Morning Hikes,Ultimate Frisbee,History of American Professional Football,Doughnuts around the world,"Grilling, Games, & Grins",Shark Tank,Running Club,"Words, words, words... Word Puzzles and Games"
Freshman,Amazing Race - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,Music Camp,Doughnuts around the world,Globalization of East Asian Foodways,Shark Tank,Introduction to Dog Training,Teamwork and Collaboration in Video Games
Freshman,Amazing Race - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,Ultimate Frisbee,Doughnuts around the world,"Grilling, Games, & Grins",NASA in the Movies,Shark Tank,Teamwork and Collaboration in Video Games
Freshman,The Poetry of Taylor Swift,Knitting and Crochet: The Basics,Beautiful Morning Hikes,Web Design and Development,Farming to Benefit the Community,Beads and Baubles: The Art of Jewelry Making,Introduction to Dog Training,Running Club,Shark Tank,Creating Outside the Box
Freshman,The Poetry of Taylor Swift,Beautiful Morning Hikes,Introduction to Podcasting,Knitting and Crochet: The Basics,Amazing Race - Full Day Course,Doughnuts around the world,Shark Tank,"Grilling, Games, & Grins",Creating Outside the Box,Beads and Baubles: The Art of Jewelry Making
Junior,Physics and Contemporary Issues,Web Design and Development,Myths and Mirth,Fishing at the pond,Beautiful Morning Hikes,Teamwork and Collaboration in Video Games,Doughnuts around the world,Board Games,NASA in the Movies,"Words, words, words... Word Puzzles and Games"
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Physics and Contemporary Issues,Introduction to Podcasting,Web Design and Development,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Doughnuts around the world,Shark Tank,Teamwork and Collaboration in Video Games,Intro to Italian,"Grilling, Games, & Grins"
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Beautiful Storage,College Tours - Full Day Course,Wilderness Survival,Intro to Italian,"Quilting as Art, Quilting as Craft",Women in Sports,Beads and Baubles: The Art of Jewelry Making,Running Club
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Backyard Birdles,Music Camp,Beautiful Morning Hikes,Fishing at the pond,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,Songwriters' Seminar,Board Games,Globalization of East Asian Foodways
Freshman,Disc Golf,Fishing at the pond,Ultimate Frisbee,Amazing Race - Full Day Course,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,Introduction to Dog Training,Songwriters' Seminar
Freshman,Harry Potter: The Wizarding World of June Academy,Beautiful Storage,Wilderness Survival,Fishing at the pond,Knitting and Crochet: The Basics,Doughnuts around the world,Intro to Italian,Board Games,"Words, words, words... Word Puzzles and Games",Floral Design with Foraging
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Wilderness Survival,Doughnuts around the world,Intro to Italian,Beads and Baubles: The Art of Jewelry Making,"Words, words, words... Word Puzzles and Games",Women in Sports
Freshman,Amazing Race - Full Day Course,Web Design and Development,Fishing at the pond,Disc Golf,Farming to Benefit the Community,Globalization of East Asian Foodways,Introduction to Dog Training,Doughnuts around the world,Board Games,Shark Tank
Sophomore,Amazing Race - Full Day Course,College Tours - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",Shark Tank
Freshman,Knitting and Crochet: The Basics,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Amazing Race - Full Day Course,Doughnuts around the world,Intro to Italian,Floral Design with Foraging,"Grilling, Games, & Grins",NASA in the Movies
Sophomore,Amazing Race - Full Day Course,College Tours - Full Day Course,Beautiful Morning Hikes,History of American Professional Football,Knitting and Crochet: The Basics,Doughnuts around the world,Floral Design with Foraging,History Book Club: Women and the 1930s,NASA in the Movies,Women in Sports
Sophomore,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,College Tours - Full Day Course,Music Camp,Doughnuts around the world,Shark Tank,"Grilling, Games, & Grins",Globalization of East Asian Foodways,"Words, words, words... Word Puzzles and Games"
Sophomore,Amazing Race - Full Day Course,College Tours - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",Shark Tank
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Play Like a Kid,Wilderness Survival,Beautiful Morning Hikes,"Grilling, Games, & Grins",Globalization of East Asian Foodways,"Fly Fishing for Life - all are welcome, from beginners to experts",Doughnuts around the world,Mending and Hiking
Sophomore,Science in Action: Real World Experiences - Full Day Course,Ultimate Frisbee,Lifeguarding - Full Day Course,Music Camp,Physics and Contemporary Issues,Doughnuts around the world,Shark Tank,Globalization of East Asian Foodways,"Grilling, Games, & Grins",NASA in the Movies
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Play Like a Kid,Wilderness Survival,Beautiful Morning Hikes,"Grilling, Games, & Grins",Globalization of East Asian Foodways,"Fly Fishing for Life - all are welcome, from beginners to experts",Doughnuts around the world,Mending and Hiking
Freshman,Beautiful Storage,Myths and Mirth,Play Like a Kid,Backyard Birdles,Jane Austen Book Club,Creating Outside the Box,Floral Design with Foraging,Board Games,Doughnuts around the world,Running Club
Junior,History of American Professional Football,Amazing Race - Full Day Course,Play Like a Kid,Fishing at the pond,Ultimate Frisbee,"Grilling, Games, & Grins",Doughnuts around the world,Globalization of East Asian Foodways,Teamwork and Collaboration in Video Games,Board Games
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Wilderness Survival,College Tours - Full Day Course,Beautiful Morning Hikes,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Globalization of East Asian Foodways,Doughnuts around the world,Mending and Hiking
Freshman,Disc Golf,Myths and Mirth,Wilderness Survival,Web Design and Development,Fishing at the pond,Doughnuts around the world,Teamwork and Collaboration in Video Games,Introduction to Dog Training,Creating Outside the Box,Board Games
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Introduction to Podcasting,Doughnuts around the world,Globalization of East Asian Foodways,Introduction to Dog Training,Floral Design with Foraging,"Grilling, Games, & Grins"
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Introduction to Podcasting,Doughnuts around the world,Globalization of East Asian Foodways,Introduction to Dog Training,Floral Design with Foraging,"Grilling, Games, & Grins"
Sophomore,Play Like a Kid,Music Camp,Harry Potter: The Wizarding World of June Academy,Myths and Mirth,Beautiful Storage,Doughnuts around the world,"Grilling, Games, & Grins",The Joy of Learning and Knowing Trivial Things,Teamwork and Collaboration in Video Games,The Show Must Go On
Junior,College Tours - Full Day Course,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Web Design and Development,Beautiful Morning Hikes,"Grilling, Games, & Grins",Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",Globalization of East Asian Foodways,Board Games
Sophomore,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Knitting and Crochet: The Basics,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Doughnuts around the world,Globalization of East Asian Foodways,Beads and Baubles: The Art of Jewelry Making,NASA in the Movies,"Grilling, Games, & Grins"
Freshman,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,College Tours - Full Day Course,Play Like a Kid,Shark Tank,Intro to Italian,Doughnuts around the world,Floral Design with Foraging,Creating Outside the Box
Sophomore,Beautiful Morning Hikes,Harry Potter: The Wizarding World of June Academy,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Disc Golf,"Grilling, Games, & Grins",Shark Tank,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,Introduction to Dog Training
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Storage,Wilderness Survival,Play Like a Kid,Fishing at the pond,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,"Grilling, Games, & Grins",Introduction to Dog Training,Floral Design with Foraging
Freshman,Amazing Race - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Wilderness Survival,Fishing at the pond,Doughnuts around the world,"Grilling, Games, & Grins",Floral Design with Foraging,NASA in the Movies,Beads and Baubles: The Art of Jewelry Making
Sophomore,Beautiful Morning Hikes,Fishing at the pond,Wilderness Survival,Web Design and Development,"Geography, Exploration, and Technology",The Joy of Learning and Knowing Trivial Things,Intro to Italian,Mending and Hiking,Doughnuts around the world,"Words, words, words... Word Puzzles and Games"
Junior,Wilderness Survival,Knitting and Crochet: The Basics,Beautiful Morning Hikes,Music Camp,Science in Action: Real World Experiences - Full Day Course,Songwriters' Seminar,"Quilting as Art, Quilting as Craft",Floral Design with Foraging,Globalization of East Asian Foodways,Doughnuts around the world
Sophomore,College Tours - Full Day Course,Disc Golf,Beautiful Morning Hikes,Amazing Race - Full Day Course,History of American Professional Football,"Grilling, Games, & Grins",Board Games,Teamwork and Collaboration in Video Games,Doughnuts around the world,"Words, words, words... Word Puzzles and Games"
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Beautiful Morning Hikes,Backyard Birdles,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,NASA in the Movies,Introduction to Dog Training,Intro to Italian
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Beautiful Morning Hikes,Backyard Birdles,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,NASA in the Movies,Introduction to Dog Training,Intro to Italian
Freshman,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Harry Potter: The Wizarding World of June Academy,Play Like a Kid,Beautiful Morning Hikes,Doughnuts around the world,Board Games,Intro to Italian,Introduction to Dog Training,NASA in the Movies
Freshman,Knitting and Crochet: The Basics,Beautiful Morning Hikes,Jane Austen Book Club,Farming to Benefit the Community,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Creating Outside the Box,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,Floral Design with Foraging,"Quilting as Art, Quilting as Craft"
Junior,College Tours - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Ultimate Frisbee,Wilderness Survival,Amazing Race - Full Day Course,Teamwork and Collaboration in Video Games,NASA in the Movies,Board Games,"Grilling, Games, & Grins",Introduction to Dog Training
Freshman,Knitting and Crochet: The Basics,Wilderness Survival,Play Like a Kid,Beautiful Morning Hikes,Ultimate Frisbee,Doughnuts around the world,"Grilling, Games, & Grins",Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts",Globalization of East Asian Foodways
Freshman,Amazing Race - Full Day Course,Wilderness Survival,Science in Action: Real World Experiences - Full Day Course,Knitting and Crochet: The Basics,Fishing at the pond,Board Games,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,"Grilling, Games, & Grins",Floral Design with Foraging
Freshman,Science in Action: Real World Experiences - Full Day Course,Beautiful Morning Hikes,Knitting and Crochet: The Basics,Myths and Mirth,Physics and Contemporary Issues,Doughnuts around the world,NASA in the Movies,Beads and Baubles: The Art of Jewelry Making,History Book Club: Women and the 1930s,The Joy of Learning and Knowing Trivial Things
Freshman,Beautiful Morning Hikes,Knitting and Crochet: The Basics,The Poetry of Taylor Swift,Myths and Mirth,Harry Potter: The Wizarding World of June Academy,Beads and Baubles: The Art of Jewelry Making,Creating Outside the Box,Floral Design with Foraging,Board Games,Doughnuts around the world
Junior,Physics and Contemporary Issues,Introduction to Podcasting,Amazing Race - Full Day Course,Lifeguarding - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Shark Tank,Board Games,Doughnuts around the world,Mending and Hiking,Teamwork and Collaboration in Video Games
Junior,Fishing at the pond,Amazing Race - Full Day Course,College Tours - Full Day Course,Lifeguarding - Full Day Course,Web Design and Development,Board Games,Mending and Hiking,Teamwork and Collaboration in Video Games,"Grilling, Games, & Grins",Shark Tank
Junior,Amazing Race - Full Day Course,Disc Golf,Ultimate Frisbee,Wilderness Survival,Play Like a Kid,"Grilling, Games, & Grins",Board Games,NASA in the Movies,Introduction to Dog Training,Running Club
Junior,College Tours - Full Day Course,Fishing at the pond,Play Like a Kid,Lifeguarding - Full Day Course,Beautiful Morning Hikes,"Grilling, Games, & Grins",Mending and Hiking,"Fly Fishing for Life - all are welcome, from beginners to experts",Intro to Italian,Shark Tank
